Incident ID,Reporter,Date of Occurance,Responsible Dirctorate,Region,District,Chiefdom,Community/Town/Village,Latitude,Longitude,Type of Incident,Cause of Incident,Dwelling Houses, Facility,School,Health Facility,Community Facility,Religious Center,Number of Facility,Shops/Business Center,Business Owners,Number of Households,Population Size,Response Status,Type of Response,Partners Intervention,Collaboration,Collaborating Partners,Date of Response,Male,Female,Boys,Girls,Persons with disability,Pregnant,Lactating Mothers,Death Cases,Injured cases,School Going Boys,School Going Girls
210910FRWU031,Open Source,10/09/2021,R & R,Western Area,Western Urban,N/A,Carlton Carew,8.432676,-13.276372,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,7,34,Yes,Cash Transfer,Yes,Government & Partners,CONCERN,26/10/2021,9,7,7,11,0,0,0,0,0,7,8
210910FFWR001,Volunteer,10/09/2021,R & R,Western Area,Western rural,N/A,"Pogodon,Cuttinbana,Hamilton",8.47616,-13.25223,Flash Flood,Damaged Guma Pipe,2,None,0,0,0,0,0,0,0,5,27,Yes,Cash Transfer,Yes,Government & Partners,CONCERN,26/10/2021,7,8,5,7,0,0,0,0,0,4,3
210910FFWU002,Open Source,10/09/2021,R & R,Western Area,Western Urban,N/A,Congo Bridge community,8.432676,-13.276372,Flash Flood,Rain,3,None,0,0,0,0,0,0,0,4,37,Yes,Cash Transfer,Yes,Government & Partners,CONCERN,26/10/2021,10,6,11,10,0,0,0,0,0,10,8
210919FRWU032,Open Source,19/09/2021,R & R,Western Area,Western Urban,N/A,KrooBay,8.432676,-13.276372,Fire,Electrical Malfunction,33,None,0,0,0,0,0,0,0,137,488,Yes,"Food,Non-Food Items & Shelter Kits",Yes,Government & Partners,"SLRCS,CONCERN,GOALS,CARITAS,Save the Children, ",23/09/2021,129,108,120,131,2,13,23,0,10,116,121
210921FRWU033,Open Source,21/09/2021,R & R,Western Area,Western Urban,N/A,12 Scotland Street Fourah Bay,8.432676,-13.276372,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,9,19,Yes,Cash Transfer,Yes,Government & Partners,CONCERN,27/10/2021,10,4,4,1,0,0,0,0,0,3,0
210924FRWU034,Open Source,24/09/2021,R & R,Western Area,Western Urban,N/A,Campbell Street,8.432676,-13.276372,Fire,Unknown,2,None,0,0,0,0,0,0,0,1,11,Yes,Cash Transfer,Yes,Government & Partners,CONCERN,27/10/2021,3,4,1,3,0,0,0,0,0,1,3
211025COWU002,Volunteer,25/10/2021,R & R,Western Area,Western Urban,N/A,"Lightfoot Boston Street, off waterloo street",8.432676,-13.276372,Building Collapse,Falling Branches,2,None,0,0,0,0,0,0,0,2,12,yes,"Food,Non-Food Items & Shelter Kits",No,Pending,Government Only,11/03/2022,2,3,4,3,0,0,0,1,3,4,2
210322FRWR035,Open Source,22/03/2021,R & R,Western Area,Western Urban,N/A,Femi Turner Godrich,8.432676,-13.276372,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,6,19,yes,"Food,Non-Food Items & Shelter Kits",No,Pending,Government Only,10/03/2022,9,7,1,2,0,0,1,0,1,1,1
210908FRWU036,Open Source,09/08/2021,R & R,Western Area,Western Urban,N/A,"Milton Street,Murray Town ",8.432676,-13.276372,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,17,72,Yes,Cash Transfer,Yes,Government & Partners,CONCERN,26/10/2021,26,18,15,13,2,2,0,0,7,13,10
211001FRWU037,Open Source,10/01/2021,R & R,Western Area,Western Urban,N/A,22 Sir Samuel Lewis Road Aberdeen,8.432676,-13.276372,Fire,Electrical Malfunction,2,None,0,0,0,0,0,0,0,8,17,yes,"Food,Non-Food Items & Shelter Kits",No,Pending,Government Only,11/03/2021,9,5,2,1,0,0,0,1,1,2,0
211019FRMO038,DSCOORD,19/10/2021,R & R,South,Moyamba,Tandale Chiefdom,Gbamina Village,8.03704,-12.09562,Fire,Unknown,20,None,0,0,0,0,0,0,0,24,182,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,13/03/2022,53,47,39,43,6,2,0,0,2,36,19
211029FRWU040,Open Source,29/10/2021,R & R,Western Area,Western Urban,N/A,Bonga Town off Wilkinson Road,8.432676,-13.276372,Fire,Electrical Malfunction,3,None,0,0,0,0,0,0,0,26,121,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,10/03/2022,35,39,26,21,5,3,4,0,3,22,15
211115FRWU043,Open Source,15/11/2021,R & R,Western Area,Western Urban,N/A,Turay Drive Juba Hill Community,8.432676,-13.276372,Fire,Electrical Malfunction,2,None,0,0,0,0,0,0,0,2,15,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,10/03/2022,6,4,2,3,0,0,0,0,0,2,3
211116FRWU044,Open Source,16/11/2021,R & R,Western Area,Western Urban,N/A, Ranger street off Macauley Street Circular Road ,8.432676,-13.276372,Fire,Electrical Malfunction,5,None,0,0,0,0,0,0,0,23,73,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,10/03/2022,25,21,12,15,1,1,0,0,0,11,13
211106WSWU056,Open Source,11/06/2021,R & R,Western Area,Western Urban,N/A,Wilberforce barrack ,8.432676,-13.276372,Windstorm,Wind,0,Services Primary School,5,0,0,0,5,0,0,0,400,Yes, Shelter Kits Only,No,Government only,Government Only,09/03/2022,0,0,233,167,0,0,0,0,0,233,167
211117FRWU045,Open Source,17/11/2021,R & R,Western Area,Western Urban,N/A,Government Wharf,8.432676,-13.276372,Fire,Unknown,20,None,0,0,0,0,0,0,63,50,228,Yes,"Food,Non-Food Items ,Shelter Kits & Cash Transfer",No,Government only,Government Only,12/04/2022,92,78,31,27,4,3,1,1,16,29,22
211117FRWU046,Open Source,17/11/2021,R & R,Western Area,Western Urban,N/A,"Salman Drive, Aberdeen",8.432676,-13.276372,Fire,Electrical Malfunction,5,None,0,0,0,0,0,0,0,30,111,Yes,Food & Non-Food Items,No,Government Only,Government Only,10/03/2022,34,36,21,20,0,2,1,0,4,19,16
211119FRWU047,Volunteer,19/11/2021,R & R,Western Area,Western Urban,N/A,Genet Lane Kingtom,8.432676,-13.276372,Fire,Electrical Malfunction,4,None,0,0,0,0,0,0,0,16,64,Yes,Food & Non-Food Items,No,Government only,Government Only,10/03/2022,28,16,11,9,3,3,0,0,0,10,6
211119FRWU048,Volunteer,19/11/2021,R & R,Western Area,Western Urban,N/A,Culvert off Racecourse Road,8.432676,-13.276372,Fire,Electrical Malfunction,2,None,0,0,0,0,0,0,0,8,30,Yes,Food & Non-Food Items,No,Government only,Government Only,11/03/2022,12,9,6,3,0,1,0,0,0,6,3
211019FRWU049,DSCOORD,19/10/2021,R & R,South,Bonthe,Bum Chiefdom,Gbembu Village,7.52639,-12.505,Flooding,Rain,9,None,0,0,0,0,0,0,0,52,244,Yes,Food & Non-Food Items,No,Government only,Government Only,12/03/2022,72,61,67,44,6,0,3,0,0,63,31
211115WSPL057,DSCOORD,15/11/2021,R & R,North West,Port Loko,Marampa,Lunsar Town,8.675273,-12.938353,Windstorm,Wind,66,"Schools,Community Center,Court Barry",6,0,4,0,10,0,0,226,532,Yes,Food & Non-Food Items,No,Government only,Government Only,29/03/2022,109,153,142,128,22,39,41,0,0,136,56
211029WSKA058,DSCOORD,29/10/2021,R & R,East,Kailahun,Jaluahun ,Segwema Town,8.2789,-10.573,Windstorm,Wind,5,None,0,0,0,0,0,0,0,34,175,Yes,Food & Non-Food Items,No,Government Only,Government Only,25/03/2022,63,45,38,29,0,2,1,0,0,36,21
211117WSKA059,DSCOORD,17/11/2021,R & R,East,Kailahun,Luawa,Boama Section Kailahun Town,8.2789,-10.573,Windstorm,Wind,10,None,0,0,0,0,0,0,0,18,195,Yes,Food & Non-Food Items,No,Government only,Government Only,25/03/2022,73,59,35,28,0,5,6,0,0,33,16
211104WSPL060,Open Source,11/04/2021,R & R,North West,Port Loko,Marampa,Maconteh Village,8.675273,-12.938353,Windstorm,Wind,1,None,0,0,0,0,0,0,0,8,22,Yes,Food & Non-Food Items,No,Government only,Government Only,29/03/2022,6,9,4,3,1,1,2,0,0,2,1
211121WSPU061,DSCOORD,21/11/2021,R & R,South,Pujehun,Sowa ,Upper and Lower Geoma Village,7.272644,-11.228923,Windstorm,Wind,4,Jonathan Child Care Primary School,1,0,0,0,1,0,0,4,35,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,16/03/2022,12,9,8,6,0,0,0,0,0,8,6
211221FRWU051,Open Source,21/12/2021,R & R,Western Area,Western Urban,N/A,"Basketball Court Seven Battalion,Godrich",8.432676,-13.276372,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,1,6,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,10/03/2022,1,2,2,1,0,0,0,2,0,2,1
211223FRWU052,Open Source,23/12/2021,R & R,Western Area,Western Urban,N/A,3 George Brook Dwazack,8.432676,-13.276372,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,4,18,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,11/03/2022,4,4,6,4,0,1,1,0,0,5,3
